姓名,國文,英文,數學,地理,歷史
林清英,53,86,90,56,98
王人仰,79,65,79,58,88
簡美君,100,72,54,53,87
趙家豪,68,98,99,71,45
蒙淑惠,99,56,66,72,69
梁柏宇,52,98,94,63,78
盧必妍,69,98,70,57,72
鄧哲榮,58,87,73,89,79
林志成,94,57,55,91,58
柯宜臻,85,96,66,94,93
陳建豪,68,77,84,68,83
游一鈺,85,55,75,97,83
林俊翔,96,95,67,52,66
鄭憲定,100,99,65,59,46
王泓泰,83,85,63,58,91
周怡啟,85,65,96,78,59
賴又琦,98,87,74,59,49
郭淑枝,88,72,62,53,60
盧文啟,89,87,80,83,96
陳逸華,82,46,93,86,76
程玫靖,47,96,82,70,87
王梅劭,98,57,65,57,55
柯宜臻,51,67,86,61,100
臧怡君,50,96,84,81,77
楊建安,67,51,54,65,73
